group_name,unit,crater_count,lat_band,min_lat,max_lat,model_age,model_age_sigma,model_erosion,model_erosion_sigma,model_erosion_025CI,model_erosion_975CI
AHi2,AHi,1336,2,-68.0,-51.0,3.857334380849754,0.08375535038297191,624.0365401279008,1167.901376959346,281.2110219960621,2824.394392258184
eNh3,eNh,9352,3,-51.0,-34.0,3.8237833260806235,0.008065402388423362,91.50698412317732,9.456660682691107,73.97034511408036,109.6884386323373
HNt7,HNt,1217,7,17.0,34.0,3.7677240735711295,0.02226898653718522,91.1299398752202,24.754880251628286,48.035910179324404,145.25658459657157
AHv8,AHv,2403,8,34.0,51.0,3.506216239737533,0.015566518327640163,4.186189034607634,6.948367970954704,0.00015502369053389413,24.592154163601638
lHl6,lHl,1372,6,0.0,17.0,3.6861332365392507,0.007319371031818798,0.3211243370441809,0.6905460865318941,2.9048659478840833e-5,2.2796478189918337
eHt8,eHt,2937,8,34.0,51.0,3.7433177978959096,0.01299997954881418,72.30138760180789,13.019948611453694,47.55455829657509,98.3705055737643
AHi8,AHi,1339,8,34.0,51.0,3.769534394811279,0.017648178640654932,165.37524831668466,23.88060209680908,123.65173846694456,214.6353651820398
lNh4,lNh,9708,4,-34.0,-17.0,3.8463055671445514,0.005807498191606202,33.14182810714021,5.618727342439195,22.27531787598055,44.43619852924499
lHv4,lHv,2078,4,-34.0,-17.0,3.6527838135469985,0.006042856018505587,0.5417471596512389,1.2606683183336052,6.622656203500371e-5,4.244464018041238
lNv4,lNv,1256,4,-34.0,-17.0,3.7789443280078383,0.006280500017934067,0.49587608358870733,1.0790273281112743,3.8181872484489704e-5,3.69414337319724
eNh1,eNh,2050,1,-85.0,-68.0,3.841440318023994,0.027869911900795078,368.53444396254,71.83002761833282,252.88880721390453,544.1687115098921
HNhu6,HNhu,1768,6,0.0,17.0,3.96502117404675,0.015619221205056839,247.18252348592893,30.973671897672062,193.7890950884771,309.9573655405131
eHt7,eHt,2746,7,17.0,34.0,3.7513217865786666,0.016542915021577995,22.690760195687727,14.381964878297026,0.007560267006233227,49.85134536233102
eHv5,eHv,3683,5,-17.0,0.0,3.7772369227673352,0.003577376581868611,0.42324896448297616,0.8288730152279843,8.088399184887788e-5,2.9019922550380644
mAl9,mAl,1860,9,51.0,68.0,3.630808846601682,0.01797795427302406,85.3727291554593,15.001471748651898,57.47392371418171,115.42900049643534
mNh4,mNh,27370,4,-34.0,-17.0,3.8488969332848706,0.003763140046302255,30.80282201239058,3.69476365691538,23.49293271770346,37.88339481250688
HNt8,HNt,1214,8,34.0,51.0,3.7568874771425427,0.022143190773243584,117.74737302161827,26.020299662884028,71.67137083736132,169.81101715201194
