Shape_Length,Shape_Area,Unit,UnitDesc,SphArea_km,OBJECTID,SUM_SphArea_km
241974.569476737175137,2753243782.228138923645020,Hto,Hesperian transition outflow unit,3373.9050293,24,1289054.372802734375000
1970059.003436759347096,49707720402.873809814453125,Ht,Hesperian transition unit,60946.8984375,23,910149.268066406250000
632930.858317673904821,29425376139.364974975585938,AHi,Amazonian and Hesperian impact unit,36075.3164062,2,7913061.843505859375000
420681.435927657352295,12274602800.923130035400391,AHi,Amazonian and Hesperian impact unit,15044.5693359,2,7913061.843505859375000
2312522.746476395055652,40469489999.019287109375000,Nhu,Noachian highland undivided unit,49618.4843750,43,1610477.508789062500000
58447289.329114258289337,3398042705291.772949218750000,eNh,Early Noachian highland unit,3851530.2500000,15,14599337.820922851562500
3107516.669962984044105,161263632506.962554931640625,Htu,Hesperian transition undivided unit,197425.2500000,25,741194.071777343750000
2493642.874605624936521,101685159993.946609497070312,AHtu,Amazonian and Hesperian transition undivided unit,124583.8984375,3,2200401.866943359375000
439493.331825530040078,6988630015.399849891662598,AHv,Amazonian and Hesperian volcanic,8564.4375000,4,13213999.766845703125000
411645.381168476480525,10931076667.811536788940430,AHi,Amazonian and Hesperian impact unit,13395.9423828,2,7913061.843505859375000
316897.178265982191078,5035307245.723235130310059,lNh,Late Noachian highland unit,6170.0493164,37,8419068.689208984375000
363633.284712678636424,9789838543.595043182373047,lNh,Late Noachian highland unit,11997.2050781,37,8419068.689208984375000
283365.481750593578909,6207622676.955452919006348,Hve,Hesperian volcanic edifice unit,7606.2631836,26,382780.249511718750000
522946.631400782556739,18281517783.395889282226562,AHi,Amazonian and Hesperian impact unit,22407.0234375,2,7913061.843505859375000
443896.994063808349892,14572034016.739114761352539,Hve,Hesperian volcanic edifice unit,17858.3242188,26,382780.249511718750000
291237.698072259430774,6080290015.675992965698242,AHi,Amazonian and Hesperian impact unit,7449.6313477,2,7913061.843505859375000
454810.160710166150238,13462576161.267814636230469,Htu,Hesperian transition undivided unit,16495.7089844,25,741194.071777343750000
564013.243234556168318,21710488286.996330261230469,AHi,Amazonian and Hesperian impact unit,26609.5273438,2,7913061.843505859375000
1040112.858367350068875,74532058941.124938964843750,Ave,Amazonian volcanic edifice,91371.0625000,9,824778.192382812500000
360883.507897073752247,6527476529.054290771484375,lNh,Late Noachian highland unit,7996.7460938,37,8419068.689208984375000
334554.373440404073335,5973374920.783893585205078,eNh,Early Noachian highland unit,7317.0888672,15,14599337.820922851562500
3247343.039798439946026,130915716588.903839111328125,Htu,Hesperian transition undivided unit,160231.9843750,25,741194.071777343750000
609849.952272546361201,12102091133.720945358276367,mNhm,Middle Noachian highland massif unit,14822.9843750,41,1873161.479003906250000
390528.389340783993248,9202447876.001007080078125,AHi,Amazonian and Hesperian impact unit,11272.7197266,2,7913061.843505859375000
295128.204990262398496,4372853003.387151718139648,AHi,Amazonian and Hesperian impact unit,5355.2421875,2,7913061.843505859375000
5628030.998354485258460,250354618027.995697021484375,mNhm,Middle Noachian highland massif unit,306822.9687500,41,1873161.479003906250000
549943.560384698212147,22052356756.448799133300781,AHi,Amazonian and Hesperian impact unit,27017.1562500,2,7913061.843505859375000
1358182.237185375066474,27456667620.369770050048828,mNh,Middle Noachian highland unit,33651.7382812,40,32313488.187866210937500
1982742.570259409258142,56503498165.433853149414062,lNh,Late Noachian highland unit,69239.5781250,37,8419068.689208984375000
347486.056595024827402,8143616955.177626609802246,AHi,Amazonian and Hesperian impact unit,9971.9003906,2,7913061.843505859375000
726144.355978092062287,13622397898.524658203125000,mNhm,Middle Noachian highland massif unit,16686.0976562,41,1873161.479003906250000
516350.508691815310158,12619867869.826625823974609,lAvf,Late Amazonian volcanic field unit,15462.0869141,31,312533.448242187500000
644050.759839323465712,29454395922.103096008300781,AHi,Amazonian and Hesperian impact unit,36084.6054688,2,7913061.843505859375000
447405.111846751358826,3729979648.013828754425049,lAv,Late Amazonian volcanic unit,4570.6220703,30,3409562.610351562500000
1284343.739145605126396,30115618371.420600891113281,Ht,Hesperian transition unit,36901.0312500,23,910149.268066406250000
471227.192918959015515,13633843162.302671432495117,AHi,Amazonian and Hesperian impact unit,16694.2480469,2,7913061.843505859375000
419967.370763459883165,12283449750.558216094970703,AHi,Amazonian and Hesperian impact unit,15041.1367188,2,7913061.843505859375000
544997.987258940353058,11467591208.477546691894531,lNh,Late Noachian highland unit,14048.5087891,37,8419068.689208984375000
691931.080079080304131,12208848541.659999847412109,HNt,Hesperian and Noachian transition unit,14950.0888672,19,2889481.606689453125000
412934.039373885083478,5926737991.687944412231445,eHv,Early Hesperian volcanic unit,7251.3818359,14,5791988.775878906250000
1117507.348926428006962,33794963928.477058410644531,lHt,Late Hesperian transition unit,41419.4687500,34,2345022.695800781250000
338466.534884074004367,5381877947.902209281921387,AHtu,Amazonian and Hesperian transition undivided unit,6583.7055664,3,2200401.866943359375000
395151.457895680388901,11401044755.159765243530273,AHi,Amazonian and Hesperian impact unit,13941.5976562,2,7913061.843505859375000
1658140.724219573894516,68409606613.535385131835938,mNh,Middle Noachian highland unit,83750.2812500,40,32313488.187866210937500
243953.415178176772315,1713753601.133213758468628,HNt,Hesperian and Noachian transition unit,2095.1003418,19,2889481.606689453125000
822904.577897913055494,15233523554.229169845581055,eNh,Early Noachian highland unit,18643.6679688,15,14599337.820922851562500
320633.336848708859179,7305265710.113245964050293,lHt,Late Hesperian transition unit,8929.4267578,34,2345022.695800781250000
324055.471966016630176,5164258539.387250900268555,Ht,Hesperian transition unit,6312.4072266,23,910149.268066406250000
